k,cluster,positive_coverage,positive_prevalence,background_prevalence,enrichment,fisher_p,medoid_structure_idx,medoid_site_idx,fdr_q,medoid_formula,center_type,geo_nX_available,geo_radial_cv,geo_planarity_ratio,geo_best_m,geo_best_psi,geo_psi6,geo_psi2,geo_psi3,geo_psi4,geo_psi5,geo_psi7,geo_psi8,geo_psi9,geo_psi10
64,3,0,0.0,0.005625879043600563,0.00017771841055252426,1.0,319,0,1.0,M7Me9,M,6,0.07361446322383304,0.23314300879602534,9,0.735540776499263,0.3569019598054574,0.13127427566000352,0.24762333331761918,0.13633698396477434,0.5423919147378498,0.41126644427958514,0.1457378800699863,0.735540776499263,0.20014957476559758
64,4,1,0.14285714285714285,0.05907172995780591,2.4183433364122946,0.35219984438922874,215,5,1.0,MMe3,X,6,0.021721880078069456,0.18521871340244708,6,0.7162456959632378,0.7162456959632378,0.21636425377290583,0.18363518634833648,0.43072653247524845,0.5537576191684188,0.12699736328644384,0.4879710983079639,0.2611265252487987,0.24481787651117548
64,5,0,0.0,0.23769338959212377,4.207082892095052e-06,1.0,126,0,1.0,MMe2,M,6,0.0007325120269690155,0.3259966127048192,6,0.9999999999998526,0.9999999999998526,1.2797359512835746e-07,6.396707582238603e-17,2.559472393378245e-07,2.2510743381547535e-16,4.934806397995405e-16,5.118942821291662e-07,1.1236244975722982e-16,6.398682211583574e-07
64,6,0,0.0,0.005625879043600563,0.00017771841055252426,1.0,315,63,1.0,M5Me7,X,6,0.029608844887602116,0.1262562507310524,6,0.5761053667829847,0.5761053667829847,0.1842452828777736,0.3084651208992023,0.183275998856998,0.146229025488839,0.5731469998366139,0.34711046126183104,0.19891726934740603,0.3546368697283364
64,7,0,0.0,0.03375527426160337,2.9624122385374333e-05,1.0,254,9,1.0,MMe,X,6,2.7068091995143915e-08,-2.1255539969849817e-46,6,0.9999999999999869,0.9999999999999869,3.8280064525627225e-08,2.424120458573898e-16,7.656012455817393e-08,2.4836383336901643e-16,2.1937832479093414e-16,1.5312026657520474e-07,2.823048902513451e-16,1.9140030068936574e-07
64,8,3,0.42857142857142855,0.10689170182841069,4.009370342789104,0.03239524633398875,386,7,1.0,MMe5,M,6,0.054358651511524615,0.30481420867876696,8,0.5603595920068667,0.05191860415387,0.3235726556602327,0.3549562607529503,0.4246926500502934,0.04545897424330508,0.16675390758236644,0.5603595920068667,0.10475397706120912,0.08791217234737664
64,9,3,0.42857142857142855,0.03375527426160337,12.696082074997099,0.001505002966448671,690,3,0.09632018985271494,MMe3,X,6,0.014570493310805782,0.19078361102070157,6,0.7621190590121837,0.7621190590121837,0.21306240201324714,0.15822192188919756,0.4416988428533826,0.5136549855974062,0.09938125103455207,0.49014649659741616,0.2570305556571507,0.3137394324400684
64,10,0,0.0,0.06329113924050633,1.5799750363944247e-05,1.0,641,8,1.0,MMe5,X,6,0.029264275999810112,0.16708751209337847,7,0.6072947650203554,0.32268908506746835,0.3384344726608579,0.10265540121464992,0.07436332679674584,0.32218935099153345,0.6072947650203554,0.10864187455874902,0.28245710316343353,0.1539891053222431
64,11,0,0.0,0.014064697609001406,7.109494514939989e-05,1.0,48,18,1.0,MMe2,X,6,0.0007750792257410464,0.1660730604878281,6,0.8944261617529459,0.8944261617529459,0.1075750686230823,0.21544817125167387,0.18456633079258186,0.5993200121052961,0.35801868124777797,0.44564904702001795,0.5901063553137392,0.3424021464015993
64,12,0,0.0,0.005625879043600563,0.00017771841055252426,1.0,668,4,1.0,M3Me8,M,6,0.2415695469358548,0.19602160838647512,4,0.9264617899309219,0.23297643739317164,0.3197541584603252,0.0569507771105626,0.9264617899309219,0.09637880586845744,0.14107418721829204,0.7259331044963623,0.1821334623783687,0.2221661249097989
64,13,0,0.0,0.011251758087201125,8.886710193631541e-05,1.0,53,64,1.0,M6Me7,X,6,0.05958172326875961,0.14422154155097444,7,0.7206702059611826,0.30312612619250945,0.3434680681465264,0.26651535583395897,0.2687397910120685,0.5003338184915961,0.7206702059611826,0.219694904067127,0.17171299748842728,0.12950919011166045
64,14,0,0.0,0.06188466947960619,1.6158829797091232e-05,1.0,265,4,1.0,MMe3,X,6,0.02861300588306664,0.2305712406440533,7,0.5118780868477029,0.261736556878582,0.20893969570596058,0.32954324603410057,0.3710642939663873,0.3217325028950208,0.5118780868477029,0.1171792208560733,0.3739179435805284,0.21423705196499335
64,15,0,0.0,0.007032348804500703,0.00014217978203499463,1.0,382,28,1.0,MMe2,X,6,0.006595142916076399,0.1818939558121901,4,0.4709868572736755,0.21710692487099617,0.21430042778312763,0.351624992151814,0.4709868572736755,0.4340964584999725,0.2717290360928926,0.2877645666444339,0.1143514988462416,0.36951179316417054
