material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-1104603,Ce2Br5_mp-1104603.cif,Ce2Br5,14,3.0337404089673807,0.9211376905441284,64.69760900140648,False
mp-540904,ThI3_mp-540904.cif,ThI3,32,3.2518066616925587,0.9210157990455627,64.55696202531645,False
mp-684193,Sm11Br24_mp-684193.cif,Sm11Br24,140,2.9316556743517554,0.9209408164024353,64.41631504922644,False
mp-28571,La2Br5_mp-28571.cif,La2Br5,14,3.0539955852982263,0.9208163022994995,64.27566807313643,False
mp-1102240,SrF2_mp-1102240.cif,SrF2,12,2.442396169102544,0.9207877516746521,64.13502109704642,False
mp-23169,Pr2Br5_mp-23169.cif,Pr2Br5,14,3.025533112258318,0.9207605719566345,63.9943741209564,False
mp-555003,WF6_mp-555003.cif,WF6,28,1.8512002276162194,0.9207420945167542,63.85372714486639,False
mp-28116,TiCl2_mp-28116.cif,TiCl2,3,2.527955671336784,0.9201827645301819,63.71308016877637,False
mp-570232,TbCl3_mp-570232.cif,TbCl3,16,2.6473431931173534,0.9197519421577454,63.57243319268636,False
mp-571537,ZrCl2_mp-571537.cif,ZrCl2,18,2.530763426740715,0.9194520115852356,63.43178621659634,False
mp-23178,WCl6_mp-23178.cif,WCl6,21,2.2938560089906033,0.919421911239624,63.150492264416314,False
mp-1095521,KF5_mp-1095521.cif,KF5,12,2.0219343365926035,0.9194151759147644,63.009845288326304,False
mp-27637,NiBr2_mp-27637.cif,NiBr2,3,2.54649348230029,0.9193533062934875,62.869198312236286,False
mp-672351,Sm6Br13_mp-672351.cif,Sm6Br13,38,2.95402374228351,0.919050395488739,62.728551336146275,False
mp-680292,Tm7Cl15_mp-680292.cif,Tm7Cl15,88,2.662670648327276,0.9190333485603333,62.58790436005626,False
mp-1105223,ZrF4_mp-1105223.cif,ZrF4,20,2.042483658587952,0.9187265038490295,62.447257383966246,False
mp-27153,UBr4_mp-27153.cif,UBr4,10,2.820568435793211,0.9186921715736389,62.30661040787623,False
mp-27638,NiI2_mp-27638.cif,NiI2,3,2.7497671093248672,0.9186311960220337,62.16596343178622,False
mp-571442,YI3_mp-571442.cif,YI3,8,3.0374534006564082,0.918445348739624,61.88466947960619,False
mp-727406,TaCl3_mp-727406.cif,TaCl3,48,2.42015303865084,0.9182553291320801,61.60337552742617,False
mp-28077,PbBr2_mp-28077.cif,PbBr2,12,2.9425975870886205,0.9176353216171265,61.04078762306611,False
mp-27396,NiCl2_mp-27396.cif,NiCl2,3,2.3960686580710244,0.9176275730133057,60.900140646976084,False
mp-6949,InF3_mp-6949.cif,InF3,8,2.082620521847839,0.9172828197479248,60.75949367088608,False
mp-22626,OsF6_mp-22626.cif,OsF6,28,1.8506872372650256,0.9172285795211792,60.47819971870605,False
mp-30033,CoBr2_mp-30033.cif,CoBr2,3,2.587781074194787,0.9171242713928223,60.337552742616026,False
mp-22880,FeBr2_mp-22880.cif,FeBr2,3,2.6101778008475836,0.9169434309005737,60.056258790436004,False
mp-22877,VCl2_mp-22877.cif,VCl2,3,2.4972987010509695,0.9169064164161682,59.91561181434599,False
mp-1018138,VI2_mp-1018138.cif,VI2,3,2.858505972582379,0.916870653629303,59.774964838255976,False
mp-569610,CoI2_mp-569610.cif,CoI2,3,2.6895703431816527,0.9167481064796448,59.353023909985936,False
mp-23240,CoCl2_mp-23240.cif,CoCl2,3,2.4358070581668145,0.9165969491004944,59.07172995780591,False
mp-541341,PtF5_mp-541341.cif,PtF5,48,1.877741397631869,0.9165862798690796,58.93108298171589,False
mp-30103,AuF5_mp-30103.cif,AuF5,48,1.8957094515663142,0.9165653586387634,58.79043600562588,False
mp-1078558,NaCl3_mp-1078558.cif,NaCl3,8,2.7635024999999995,0.9165454506874084,58.50914205344585,False
mp-560553,IrF6_mp-560553.cif,IrF6,28,1.8581551958263112,0.916389524936676,58.368495077355846,False
mp-571096,FeCl2_mp-571096.cif,FeCl2,3,2.46488950260613,0.9163109064102173,58.22784810126582,False
mp-684890,Tb4F15_mp-684890.cif,Tb4F15,38,2.250445344965274,0.9159886837005615,57.80590717299579,False
mp-7570,RuF3_mp-7570.cif,RuF3,8,1.977193384701754,0.9159448146820068,57.66526019690576,False
mp-28495,ZrBr2_mp-28495.cif,ZrBr2,18,2.660426666255103,0.9159031510353088,57.52461322081576,False
mp-555908,CoF2_mp-555908.cif,CoF2,6,1.998557497913831,0.9158616065979004,57.383966244725734,False
