config,group,formula,material_id,matched_site,matched_center,soap_similarity,nX_available,six_X_distances_scaled,radial_cv,planarity_ratio,best_m,best_psi,psi6,psi2,psi3,psi4,psi5,psi7,psi8,psi9,psi10
wide,blind,AlBr3,mp-23288,0,M,0.9892176389694214,6,"[0.998925669144113, 1.0010743308558867, 1.0806865998739787, 1.0866271040966458, 1.7879708353708539, 2.0515282706502287]",0.3163647901715177,0.12866705003033344,5,0.6058866803289212,0.44977856598989713,0.34234365593635957,0.5018926651854655,0.3737085357674921,0.6058866803289212,0.02922242772429879,0.4445107833886544,0.13273816024348617,0.09314700889995625
wide,blind,ZnCl2,mp-22909,0,M,0.9513929486274719,6,"[0.9999999994185899, 1.0000000019458233, 1.0000000919493262, 1.000000186317332, 1.8610499918606742, 1.8610499976391592]",0.31538271691702974,0.12617668454524633,7,0.8679286771971156,0.08262843056281813,0.11146313353694,0.09295616735205678,0.3135508825268547,0.21963802411915453,0.8679286771971156,0.416407784123792,0.18513582243889762,0.12281717117148201
wide,blind,SnCl2,mp-29179,4,M,0.9600004553794861,6,"[0.9996283821628491, 1.0501052080347946, 1.0553846747715128, 1.1664243657257103, 1.170743083334133, 1.2793496156128152]",0.08442543241019818,0.17020136212944098,6,0.7029916242996154,0.7029916242996154,0.14268358102952997,0.08370833200281502,0.14310554242859025,0.405593108733667,0.14034350527803466,0.45337105136918066,0.5189692797757581,0.15999023551814553
radial_rich,known,AlCl3,mp-25470,2,X,0.9359530210494995,6,"[1.266964637557499, 1.2669646912092083, 1.2669646912092083, 1.333170007536183, 1.3331700585235424, 1.3331700585235426]",0.025462283867169012,0.21903229722071818,10,0.9628331899163683,0.13559947461122174,0.5064479015175506,0.04049320978573738,0.2410405124772449,0.009309583818920367,0.10094415178314234,0.6589577259094754,0.0506128626681991,0.9628331899163683
radial_rich,known,FeCl3,mp-23204,3,X,0.9540627002716064,6,"[1.3113286432693523, 1.4279545387825416, 1.427954553782025, 1.428419491962814, 1.4284195571841742, 1.4957430359221937]",0.038373869651538516,0.18561546217886696,5,0.6588085410103797,0.6094776730749485,0.2390744647977423,0.19939998416676813,0.38431010709727376,0.6588085410103797,0.29199518493187543,0.41678154734588047,0.2891144890431299,0.20259714903583434
radial_rich,known,GaF3,mp-588,3,X,0.9380856156349182,6,"[1.4120833031859283, 1.4120833066870535, 1.412083570200013, 1.4120835853085851, 1.416340488786145, 1.416340523570423]",0.0014197354891395037,0.17661665107375416,5,0.7840886948135758,0.2513221818084597,0.41669445594517157,0.3600188083751355,0.020554405381389796,0.7840886948135758,0.10551535874460403,0.07181500185810968,0.17934033559471899,0.29213791324360455
radial_rich,known,InBr3,mp-570219,2,X,0.9383576512336731,6,"[1.3743965773352869, 1.417440904796191, 1.4174409693290924, 1.4201545368816835, 1.4201545459867284, 1.4521555544329363]",0.01596705647145062,0.18917937395481393,6,0.7505095390493883,0.7505095390493883,0.2139870120319361,0.16513188181944674,0.4390614664219662,0.5226118111408069,0.0921303602982593,0.49435868341270617,0.25735712889640694,0.2939603149651223
radial_rich,known,TaCl5,mp-29831,14,X,0.9550588130950928,6,"[1.4568240384527802, 1.457031777166615, 1.4941712777673397, 1.5284050581916317, 1.6370817388891148, 1.6440123475124906]",0.050558146442230834,0.14624608647283213,5,0.5361472337354714,0.30228838163167504,0.35683570049976604,0.007186403613736348,0.07397170802453967,0.5361472337354714,0.23199287453645817,0.10421340169177942,0.07683857452335909,0.25117993035814906
radial_rich,known,ZrCl4,mp-569175,2,X,0.9626489281654358,6,"[1.5176288422171065, 1.5182404105335374, 1.5400155864699498, 1.5783501809479108, 1.6313100593032355, 1.6313100593032355]",0.030674893427533333,0.18633723093774993,6,0.8034117503918913,0.8034117503918913,0.17440191817960396,0.2974163793668625,0.5135952433678386,0.5601183698710929,0.04845779510674512,0.21997174375067752,0.08337334545404088,0.6360329424872422
radial_rich,known,GaCl3,mp-30952,4,X,1.0000001192092896,6,"[1.705906220686179, 1.7062504702702908, 1.7221634584980652, 1.7232283902965306, 1.751670601342099, 1.8130834692913758]",0.02144525710808335,0.14774863733543342,7,0.7896797138773838,0.3014507630789341,0.513781930615212,0.28244908401122076,0.15023473347194816,0.7736725028573833,0.7896797138773838,0.6387675160953866,0.16340504174733692,0.3458439367375441
